Num,id,nodes,start,end,distance
10,25776392,"[[4846959200, 13.520997, 120.976218], [281156674, 13.5218561, 120.9763421], [7450881481, 13.678931, 121.0292097], [7450881480, 13.6806403, 121.0301757], [7450881482, 13.6823919, 121.0316774], [7450881487, 13.7050107, 121.0535253], [7450881483, 13.7052637, 121.0539822], [7450881484, 13.7054074, 121.0544503], [7450881485, 13.7053984, 121.0551], [7450881486, 13.705177, 121.0555361], [281156906, 13.7047925, 121.0558675], [7450881489, 13.7043828, 121.0561209]]","[4846959200, 13.520997, 120.976218]","[7450881489, 13.7043828, 121.0561209]"
11,25929866,"[[5691724626, 22.2359916, 114.1874039], [8875077466, 22.2360936, 114.1873722], [8875077465, 22.2361975, 114.1873491], [8875077464, 22.2363027, 114.1873347], [8875077463, 22.2364087, 114.1873291], [8875077462, 22.2365148, 114.1873322], [8875077461, 22.2366203, 114.1873442], [8875077460, 22.2367246, 114.1873648], [8875077459, 22.2368272, 114.1873941], [8875077458, 22.2369274, 114.1874318], [8875077457, 22.2370246, 114.1874777], [282847143, 22.2371183, 114.1875315], [8875077456, 22.2372079, 114.1875929], [8875077455, 22.2372928, 114.1876616], [8875077454, 22.2373726, 114.1877371], [8875077453, 22.2374469, 114.187819], [8875077452, 22.237515, 114.1879068], [8875077451, 22.2375767, 114.1880001], [8875077450, 22.2376317, 114.1880981], [5691724631, 22.2376795, 114.1882005]]","[5691724626, 22.2359916, 114.1874039]","[5691724631, 22.2376795, 114.1882005]"
12,26518664,"[[290651892, 22.2093048, 114.1455029], [290651896, 22.2099935, 114.1448733], [7393965308, 22.2109443, 114.1443558], [7393965309, 22.2121645, 114.1439795], [290651897, 22.2132139, 114.1437884], [7393965307, 22.2145852, 114.1436508], [290651902, 22.2165536, 114.143508], [290651909, 22.2376844, 114.1420577], [7393965312, 22.239039, 114.1419841], [7393965310, 22.2403041, 114.1419866], [7393965311, 22.241639, 114.1420725], [290651911, 22.2426092, 114.1422317], [7393965306, 22.24346, 114.142462], [290651912, 22.2443241, 114.1427761], [290651915, 22.2448857, 114.1431434], [4449907078, 22.2453427, 114.1437665], [290651920, 22.245484, 114.1442727], [4449907080, 22.2455361, 114.1451281], [4449907083, 22.2459506, 114.1468333], [4449907087, 22.2465964, 114.1480233], [6349373070, 22.2468175, 114.148888], [290651922, 22.2468318, 114.1498934], [290651925, 22.2466523, 114.1520044], [290651926, 22.2467347, 114.1522419], [290651928, 22.2472319, 114.1522876], [5691736006, 22.2473708, 114.1522955]]","[290651892, 22.2093048, 114.1455029]","[5691736006, 22.2473708, 114.1522955]"
13,26693928,"[[487075704, 13.704289, 100.5628107], [4801299808, 13.7072028, 100.5635823]]","[487075704, 13.704289, 100.5628107]","[4801299808, 13.7072028, 100.5635823]"
15,27135207,"[[249403520, 13.7461492, 100.4898732], [3493488226, 13.7449724, 100.489226]]","[249403520, 13.7461492, 100.4898732]","[3493488226, 13.7449724, 100.489226]"
16,27158348,"[[2425131958, 20.2756288, 100.4063262], [297974982, 20.2759425, 100.409304], [297974983, 20.2760583, 100.4096815], [297974984, 20.2761539, 100.4099873], [297974985, 20.2762171, 100.4102377], [2425131959, 20.2761854, 100.4105155]]","[2425131958, 20.2756288, 100.4063262]","[2425131959, 20.2761854, 100.4105155]"
17,27296235,"[[21834495, 14.5830022, 121.0078165], [21834347, 14.5835272, 121.007574], [30119330, 14.5844477, 121.0071368], [2567233302, 14.5851192, 121.0070042], [21834443, 14.5857479, 121.007035], [21834503, 14.5864586, 121.0071991], [30119332, 14.5869564, 121.0075306], [2567233308, 14.5874792, 121.0081622], [2567233309, 14.5877831, 121.0086627], [21834668, 14.587914, 121.0091082], [21834320, 14.5878771, 121.0096889], [30119334, 14.5880289, 121.0105438], [21834232, 14.5881309, 121.0109622], [21834621, 14.5883069, 121.0113938], [30119336, 14.5887127, 121.0122031], [323064357, 14.5894544, 121.0128549]]","[21834495, 14.5830022, 121.0078165]","[323064357, 14.5894544, 121.0128549]"
18,27622273,"[[2478263417, 12.5391803, 101.4490258], [2478263415, 12.538991, 101.4503286], [2478263416, 12.5391293, 101.4515543], [2478263423, 12.5475365, 101.4551177], [2478263425, 12.5490324, 101.4556295], [2478263432, 12.5543866, 101.4583058], [2478263436, 12.5573766, 101.4632943], [4165081885, 12.558787, 101.4656771], [4165081886, 12.5608185, 101.4680589], [4165081887, 12.5647351, 101.4707197], [2478391889, 12.5663557, 101.4716099], [303342436, 12.5688254, 101.4716919], [2478263458, 12.5713309, 101.4709264], [2478263462, 12.5735746, 101.4697522], [4165081888, 12.5793743, 101.4661921], [2478263475, 12.5816615, 101.4620068], [2478391892, 12.5853521, 101.4566937], [2478263478, 12.5877588, 101.4512632]]","[2478263417, 12.5391803, 101.4490258]","[2478263478, 12.5877588, 101.4512632]"
19,27994507,"[[307408369, 12.1401764, 102.3062822], [4523489557, 12.1407015, 102.3064327], [4523489558, 12.1409636, 102.3065165], [3971967969, 12.1417913, 102.3068313], [307385609, 12.1890886, 102.3676157]]","[307408369, 12.1401764, 102.3062822]","[307385609, 12.1890886, 102.3676157]"
20,28399262,"[[311954182, 13.506733, 120.933486], [409420218, 13.5071285, 120.93381], [8737335028, 13.5072598, 120.9338897], [8737335029, 13.507395, 120.9339675], [7450881465, 13.529438, 120.9459107], [7450881464, 13.5318783, 120.9472417], [7450881466, 13.533704, 120.9483412], [8737310498, 13.6982373, 121.0484192], [8737310499, 13.7001531, 121.0496092], [7450881470, 13.7017387, 121.0508176], [7450881467, 13.7049155, 121.0537178], [7450881469, 13.7052696, 121.054525], [7450881468, 13.7052901, 121.0547638], [7450881471, 13.7052567, 121.0550998], [311954521, 13.7051043, 121.0554897], [7450881489, 13.7043828, 121.0561209]]","[311954182, 13.506733, 120.933486]","[7450881489, 13.7043828, 121.0561209]"
