id,nodes,start,end,distance
40900932,"[[3897533519, 22.2447938, 114.1542521], [497873466, 22.2452577, 114.1556027], [6349373074, 22.2454174, 114.1556981], [497873470, 22.2462246, 114.155346], [6349373073, 22.2464476, 114.1554567], [5256880450, 22.2466112, 114.1561031]]","[3897533519, 22.2447938, 114.1542521]","[5256880450, 22.2466112, 114.1561031]"
53149491,"[[5256880449, 22.2473931, 114.1525093], [672636747, 22.2454623, 114.1525471], [6349373075, 22.2451542, 114.1527262], [672636748, 22.2447821, 114.1539446], [2193685808, 22.2447731, 114.1541375], [2193685806, 22.2447788, 114.1541899]]","[5256880449, 22.2473931, 114.1525093]","[2193685806, 22.2447788, 114.1541899]"
53204049,"[[5222144173, 22.2941781, 114.1998938], [5704189126, 22.2943157, 114.1999721], [5704189125, 22.2944372, 114.1999653], [5222144177, 22.2947354, 114.1998566], [673375682, 22.2953157, 114.1995538], [6831076859, 22.2957698, 114.1990602], [673375683, 22.2962389, 114.1984058], [6831076858, 22.2968783, 114.197225], [673375684, 22.2997901, 114.1918774], [5704189127, 22.3001226, 114.1912534], [6831076857, 22.3004092, 114.1908538], [5704189128, 22.3006462, 114.1906152], [673375685, 22.3008795, 114.1904853], [1722029339, 22.3010773, 114.1903761]]","[5222144173, 22.2941781, 114.1998938]","[1722029339, 22.3010773, 114.1903761]"
53204050,"[[7929798074, 22.3174447, 114.1947177], [6831076860, 22.3173615, 114.1946763], [6831076861, 22.3172114, 114.1950291], [5674012207, 22.3170713, 114.1951007], [6831076862, 22.3169328, 114.1950885], [6831076863, 22.3167205, 114.1949972], [673375691, 22.3161255, 114.1947244], [6831076864, 22.314616, 114.1941378], [6831076865, 22.3141322, 114.1940321], [6831076866, 22.3136381, 114.1940065], [673375692, 22.3131466, 114.1940159], [6831076867, 22.312455, 114.1941457], [673375693, 22.2956801, 114.1996777], [5222144175, 22.2944345, 114.2000423], [5222144176, 22.2942785, 114.2000231], [5222144173, 22.2941781, 114.1998938]]","[7929798074, 22.3174447, 114.1947177]","[5222144173, 22.2941781, 114.1998938]"
53204051,"[[673375695, 22.2945818, 114.2008838], [5704189124, 22.2946791, 114.200984], [6831112898, 22.2952815, 114.2012597], [5164139061, 22.2956818, 114.201491], [7674086010, 22.2959747, 114.2016999], [5164139062, 22.2964635, 114.202115], [7674086009, 22.2968915, 114.2026327], [5221617437, 22.297435, 114.2034488], [673375696, 22.2977554, 114.2041132], [7674086008, 22.29802, 114.2048772], [5221617438, 22.3008902, 114.2137659], [6831112894, 22.3012629, 114.2148132], [6831112893, 22.3016177, 114.2156445], [5221617439, 22.3019697, 114.2162425], [7674086005, 22.3023326, 114.2167101], [7404230356, 22.3047759, 114.2197407], [7404230355, 22.3049244, 114.2199181], [6831076878, 22.3050586, 114.2200428], [4970681387, 22.3052312, 114.220142], [5221617453, 22.3054163, 114.2202128], [4970681397, 22.3056587, 114.2202392], [6831076879, 22.3058502, 114.2201706], [4970681396, 22.3060307, 114.220017], [6831076882, 22.3061283, 114.2198433], [4970681395, 22.3062002, 114.219623], [6831076877, 22.3062374, 114.2193123], [6831076874, 22.3062349, 114.2191411], [5221596642, 22.3062677, 114.2188089], [6831076873, 22.3063461, 114.2184665], [4970681394, 22.3065467, 114.2180222], [6831076872, 22.3066838, 114.2178025], [6831076871, 22.3069138, 114.2175478], [6831076870, 22.3100137, 114.2145147], [4970681393, 22.3102263, 114.2142124], [5704189131, 22.3103365, 114.2140013], [5221596643, 22.3103377, 114.213717], [5704189132, 22.310277, 114.2134555], [4970681391, 22.3101328, 114.2132406], [5221634403, 22.3099356, 114.2130953], [4970681388, 22.3098603, 114.213066], [5704189133, 22.3099307, 114.2130511], [5221634402, 22.3100556, 114.2130699], [5704189129, 22.3101752, 114.2131162], [6831076868, 22.3102997, 114.2132503], [4970681392, 22.3104242, 114.2134596], [4970681389, 22.3105012, 114.2137427], [5704189130, 22.3104953, 114.2140174], [4970681390, 22.3103636, 114.2143806], [6831076869, 22.3101504, 114.2146571], [6831112886, 22.3074726, 114.2173147], [6831112887, 22.3070646, 114.217771], [5221596644, 22.3068372, 114.2180838], [7674086011, 22.3065933, 114.2185196], [5221596645, 22.3065281, 114.218757], [6831112888, 22.3064708, 114.2192124], [6831076876, 22.3064432, 114.2196248], [6831076875, 22.3064289, 114.2201175], [5221596646, 22.3064102, 114.2205242], [5221596641, 22.3063866, 114.2207553], [5704189141, 22.3063165, 114.2210945], [5221617446, 22.3062658, 114.2212798], [5221617448, 22.306246, 114.2213555]]","[673375695, 22.2945818, 114.2008838]","[5221617448, 22.306246, 114.2213555]"
53204053,"[[5696235622, 22.2907248, 114.236446], [5704189140, 22.2896164, 114.2349347], [6956592583, 22.2894848, 114.2347448], [6956592582, 22.289334, 114.234484], [6956604988, 22.2892399, 114.2342805], [6956592581, 22.2891706, 114.2340447], [6956592580, 22.2891091, 114.2337615], [6956604987, 22.2881993, 114.2274422], [6956592575, 22.2881125, 114.2270031], [6956604986, 22.2880071, 114.2266088], [6956604985, 22.2878564, 114.2261957], [6956592584, 22.2877417, 114.2259308], [6956592576, 22.2875932, 114.225646], [5704189144, 22.287349, 114.2252736], [5872493080, 22.2864844, 114.2241693]]","[5696235622, 22.2907248, 114.236446]","[5872493080, 22.2864844, 114.2241693]"
54365881,"[[4449907054, 22.2470349, 114.1543017], [4449907091, 22.246968, 114.1543603], [549871551, 22.2468347, 114.1543596], [549871583, 22.2464918, 114.1542356], [549871592, 22.2464033, 114.1539079], [6349373072, 22.2464377, 114.1523319], [549871642, 22.2466726, 114.1499311], [6349373067, 22.2466562, 114.1488987], [4449907082, 22.2464434, 114.1481097], [549871704, 22.245738, 114.1470212], [4449907074, 22.2451636, 114.1451861], [549871713, 22.2448842, 114.1419759], [6961188039, 22.2435698, 114.1240067], [7393965292, 22.2431564, 114.1203308], [7393965291, 22.2428729, 114.1189623], [7393965290, 22.2424937, 114.1172438], [7393965289, 22.2419824, 114.1155019], [549871754, 22.2413255, 114.1138786], [7393965288, 22.2406725, 114.1127301], [7393965287, 22.2401368, 114.1118608], [7393965286, 22.239478, 114.1111455], [7393965285, 22.2387176, 114.1105364], [549871769, 22.2380444, 114.1102266], [549871786, 22.2374327, 114.1100378], [8735615158, 22.2367493, 114.1099562], [517361525, 22.2366817, 114.1099338], [8735409187, 22.2367512, 114.109945], [549871802, 22.2367996, 114.1099317], [8735409186, 22.2368752, 114.1098922], [7393963680, 22.2372421, 114.1096456], [549871839, 22.2377266, 114.1090035], [7393963679, 22.2381575, 114.1082628], [7393963678, 22.2383982, 114.1072798], [7393963677, 22.2385198, 114.1062626], [549871852, 22.2383861, 114.1052913], [549871862, 22.2379808, 114.1044201], [7393963676, 22.2372545, 114.1037212], [549871871, 22.2362212, 114.1029953], [549871879, 22.2350692, 114.1026091], [7393963675, 22.2339251, 114.1025469], [549871888, 22.2326023, 114.1025705], [549871897, 22.23149, 114.1027635], [549871908, 22.2302227, 114.1033429], [549871917, 22.2292057, 114.1041154], [7393963674, 22.2281587, 114.1051173], [549871925, 22.2272592, 114.1062139], [7393963673, 22.2266712, 114.1072038], [6564202536, 22.2262956, 114.1085958]]","[4449907054, 22.2470349, 114.1543017]","[6564202536, 22.2262956, 114.1085958]"
56902358,"[[710752964, 26.6440808, 106.4936208], [710812249, 26.644157, 106.493752], [710811798, 26.644289, 106.494148], [710811587, 26.644287, 106.494293], [710840922, 26.644182, 106.494484], [710811360, 26.643728, 106.494598], [710812556, 26.643631, 106.494736], [710840903, 26.643568, 106.495041], [710812282, 26.64356, 106.49575], [710812088, 26.643421, 106.496933], [710811609, 26.643385, 106.498016], [710812175, 26.643461, 106.499023], [710812481, 26.643633, 106.500183], [710812167, 26.643761, 106.500519], [710812427, 26.6441, 106.501144], [710812119, 26.644377, 106.501541], [710840997, 26.644777, 106.50193], [710812453, 26.644993, 106.502396], [710811897, 26.645233, 106.503181], [710811343, 26.645428, 106.503586], [710812266, 26.645666, 106.504295], [710811625, 26.645922, 106.504791], [710812496, 26.646107, 106.505379], [710811884, 26.646111, 106.506371], [710812660, 26.646179, 106.506905], [710811617, 26.646688, 106.508141], [710811973, 26.647284, 106.509254], [710841005, 26.647778, 106.510025], [710812013, 26.647964, 106.510452], [710841045, 26.649012, 106.512032], [710841064, 26.649729, 106.513321], [710811321, 26.650341, 106.514656], [710811299, 26.651358, 106.516418], [710840993, 26.651903, 106.517677], [710811297, 26.652353, 106.518593], [710812074, 26.652813, 106.519714], [710811980, 26.652859, 106.519997], [710811274, 26.653057, 106.520447], [710811415, 26.654285, 106.524483], [710812082, 26.654648, 106.525352], [710840931, 26.655151, 106.526337], [710812122, 26.655836, 106.528008], [710841084, 26.656185, 106.528992], [710841043, 26.656706, 106.529991], [710811241, 26.656742, 106.530197], [710840981, 26.65679, 106.530258], [710811320, 26.6567487, 106.5304929]]","[710752964, 26.6440808, 106.4936208]","[710811320, 26.6567487, 106.5304929]"
59603065,"[[8676168046, 21.4205094, 109.1250538], [8676168045, 21.4165357, 109.1231028], [7528835138, 21.4122037, 109.1220792], [8454600532, 21.1277718, 109.072001], [8454600531, 21.1244785, 109.071843], [6924974239, 21.1207601, 109.0717342], [6924974237, 21.1172883, 109.0719079], [8454600530, 21.0871789, 109.0742575], [6924974236, 21.0837528, 109.0746947], [6924974235, 21.0809773, 109.0751486], [6924974227, 21.0788699, 109.0757465], [6924974228, 21.0713718, 109.078184], [6924974232, 21.069611, 109.0789647], [6924974226, 21.0683022, 109.0797183], [6924974225, 21.0669602, 109.0807798], [8454600528, 21.0656928, 109.0814766], [8454600529, 21.0641308, 109.0822541], [6924974242, 21.0582727, 109.0846702], [8454600524, 21.0579035, 109.0848857], [8454600526, 21.0575517, 109.0851299], [8454600525, 21.0573585, 109.0852929], [739378790, 21.0571929, 109.0855227], [8454600527, 21.0570973, 109.0857973], [6924974224, 21.0570707, 109.0860312], [8454600523, 21.0570953, 109.0871555]]","[8676168046, 21.4205094, 109.1250538]","[8454600523, 21.0570953, 109.0871555]"
71214873,"[[847725653, 19.237061, 110.620227], [847725373, 19.236978, 110.620151], [847725602, 19.236979, 110.620025], [847725323, 19.236852, 110.619759], [847725009, 19.236773, 110.619703], [847725669, 19.236383, 110.61963], [847725818, 19.236238, 110.619512]]","[847725653, 19.237061, 110.620227]","[847725818, 19.236238, 110.619512]"
